country_code,pop_urban_agglomerations_of_more_than_1_million_percent,pop_urban_agglomerations_of_more_than_1_million,pop_in_the_largest_city,pop_density,pop_living_in_slums_percent,rural_pop_percent,rural_pop_annual_growth_percent,urban_population,urban_population_annual_growth,urban_population_percent
EAR,18.7951143173853,,17.5880240015816,98.111144728063,31.7231783184867,54.8703993026394,0.565474054094437,1465917491,2.2214207639651,45.1296006973606
EAS,,,11.6539751127308,95.428211475338,26.404670109501,40.9481242542379,-1.45419107739617,1374809196,2.08718550138617,59.0518757457621
TEA,,,7.45975370093065,130.185452991291,26.404670109501,44.4449079814641,-1.50253939657226,1142248481,2.45005591699648,55.5550920185359
EAP,,,7.62038819041426,130.809797542712,26.404670109501,44.3666825247595,-1.48803198380108,1158084885,2.42753879206438,55.6333174752405
ECU,27.6345957884163,4721193,26.5861487148008,68.7886817522951,20.1000003814697,36.179,1.34911264130179,10903407,2.00248962909365,63.821
EGY,25.5652539413948,25162242,47.7649634748908,98.8734692852479,5.19999980926514,57.296,2.03500691329673,42030812,2.03092130898479,42.704
SLV,17.2362891278643,1106698,23.9316479587026,309.881467181467,22.3999996185303,27.977,-2.12911339453767,4624412,1.55334406830393,72.023
GNQ,,,39.8054499842746,46.6657397504456,64.9000015258789,27.857,1.88608839027839,944333,4.34581444152726,72.143
ERI,,,,,,,,,,
EST,,,47.9944606612503,30.4112491373361,,31.12,-0.174374312565055,910578,0.58496349021078,68.88
SWZ,,,,66.0576162790698,32.0999984741211,76.201,0.783738420943367,270402,1.74553277780684,23.799
ETH,4.02809957786142,4399674,19.4003737935325,109.224559,64.3000030517578,79.237,2.04993924787426,22678295,4.82593017790277,20.763
EMU,19.4785558911951,,15.6943788449661,127.60466912955,,23.0082871485951,-0.757517046190259,263190902,0.488681668193138,76.9917128514049
ECS,20.5105178725931,,16.8117352008596,33.4651318902801,,27.7898076733727,-0.329165516809653,661536012,0.634635158107216,72.2101923266272
TEC,20.7776208743287,,17.2989717938006,19.9783003024588,,33.6699857584596,-0.0567406201762992,303243022,0.689049699485494,66.3300142415404
ECA,23.0785798002266,,18.0072056080692,17.7575359364548,,32.3640693970563,-0.0101013218296657,267593458,0.810819848288219,67.6359306029436
EUU,17.4105429274947,,15.8638061111352,111.784864172318,,25.4850420490126,-0.666187452232876,332916196,0.425336869589216,74.5149579509874
FRO,,,,34.7399698278226,,57.936,0.0818927962308011,20400,0.703448801850133,42.064
FJI,,,,48.3570333880679,11.1999998092651,43.752,-0.465875221713094,496942,1.58797724617295,56.248
FIN,23.1908295221216,1279096,27.161260374759,18.1485472672831,,14.618,-0.256536014525473,4709266,0.199422968266274,85.382
