CountryCode,EN.URB.MCTY.TL.ZS,EN.URB.MCTY,EN.URB.LCTY.UR.ZS,EN.POP.DNST,EN.POP.SLUM.UR.ZS,SP.RUR.TOTL.ZS,SP.RUR.TOTL.ZG,SP.URB.TOTL,SP.URB.GROW,SP.URB.TOTL.IN.ZS
PRI,76.7567274760826,2451375,82.0260857257295,..,..,6.42400000000001,0.041926677681261,2988531,0.00849952015032448,93.576
QAT,..,..,25.4887469914431,..,..,0.811999999999998,-4.53135448502882,2809071,1.84876479832287,99.188
ROU,9.36267341938726,1812290,17.3113557599238,..,..,45.916,-0.784615908826702,10468793,-0.43836254855258,54.084
RUS,23.3242408312576,33674031,11.5859216414444,..,..,25.413,-0.676394672598752,107683889,0.134449345963402,74.587
RWA,8.67031230819794,1094796,50.0797766254487,..,..,82.687,2.48437324530633,2186104,3.19854119372441,17.313
WSM,..,..,..,..,..,81.944,0.720194252500449,35588,-0.538057569805217,18.056
SMR,..,..,..,..,..,2.63200000000001,-5.03388547676129,32969,0.367686574350078,97.368
STP,..,..,..,..,..,26.402,-1.07558056147723,158277,2.97670032450418,73.598
SAU,47.5143606985395,16282472,24.5442403556976,..,..,15.935,0.29576593511849,28807838,1.9363479388419,84.065
SEN,18.759184564115,3057065,39.3662211780874,..,..,52.347,1.8729499493424,7765706,3.72185738820304,47.653
SRB,20.0679916054413,1393717,35.6700875783769,..,..,43.74,-0.923715546210745,3907243,-0.241285661081648,56.26
SYC,..,..,..,..,..,42.881,-0.105049550068803,55762,1.63992935453116,57.119
SLE,14.9544585679519,1168424,35.2002159448521,..,..,57.516,1.36596359767134,3319366,3.1240005330638,42.484
SGP,100,5868104,100,..,..,0,..,5703569,1.14428330688929,100
SXM,..,..,..,..,..,0,..,40733,0.19413425930761,100
SVK,..,..,14.7592545639378,..,..,46.271,0.127475858806217,2930419,0.139565457483372,53.729
SVN,..,..,..,..,..,45.178,0.0552473605867826,1144654,1.18914633970637,54.822
SST,..,..,..,..,..,40.8415395978387,0.605253997340569,24406106,2.42387141499647,59.1584604021613
SLB,..,..,..,..,..,75.79,1.95894754230485,162164,4.48798720730344,24.21
SOM,14.1155760525627,2179855,30.9864686736525,..,..,54.446,1.79050880839844,7034861,4.14366174403649,45.554
ZAF,35.5821679841293,20836302,14.3937873165213,..,..,33.144,-0.16165875738029,39149717,2.09081155863504,66.856
SAS,15.9230149417843,..,11.3243739251454,..,..,65.5681026430702,0.505062823940051,632092764,2.48708537686694,34.4318973569298
TSA,15.9230149417843,..,11.3243739251454,..,..,65.5681026430702,0.505062823940051,632092764,2.48708537686694,34.4318973569298
SSD,..,..,17.5248154457694,..,..,80.101,0.428300907801056,2201250,2.21970691983072,19.899
ESP,25.7030488129594,12100168,17.2936701265304,..,..,19.435,-0.653185755467197,37927409,0.897791266974609,80.565
LKA,..,..,14.9591519236502,..,..,81.415,0.478079857786287,4052088,1.2001131645543,18.585
KNA,..,..,..,..,..,69.201,0.691778316046436,16269,0.802275347334785,30.799
LCA,..,..,..,..,..,81.246,0.400775097374816,34280,0.899600223892413,18.754
MAF,..,..,..,..,..,..,..,..,..,..
