CountryCode,NY.GDP.PCAP.KN,NY.GDP.MKTP.KN,SI.POV.GINI,NY.GNP.MKTP.KN,NY.GNP.PCAP.KN
LKA,436445.964465585,9359147262000,..,9097651510150.4,424251.609314979
KNA,38652.7043904314,2011680000,..,..,..
LCA,30031.9554585394,5434432500,..,..,..
MAF,..,..,..,..,..
VCT,16188.9152940534,1777980000,..,..,..
SSF,..,..,..,..,..
TSS,..,..,..,..,..
SSA,..,..,..,..,..
SDN,815.026517273887,33264000000,..,32173830209.3008,788.315439599802
SUR,16599.5905317478,9470000000,..,..,..
SWE,443477.02625392,4460358000000,28.8,4536112604475.47,451009.028554593
CHE,80160.6112396827,677504660500,32.7,..,..
SYR,..,..,..,..,..
TJK,709.001158523594,6296120300,..,..,..
TZA,2029074.63610837,107670284872900,40.5,105190006091772,1982333.1347628
THA,148076.578917414,10248359000000,36.5,9784346329891.21,141372.148601883
TLS,1279.33204355957,1590543635.80791,..,2266474968.3841,1823.00817638783
TGO,286284.690368964,2203955531688.21,..,2206369772663.2,286598.290266994
TON,8347.05582462401,851383000,..,..,..
TTO,112995.711205775,156394200000,..,..,..
TUN,6217.19984085284,71084000000,..,..,..
TUR,20888.9524303576,1694133564000,41.4,1672648520585.98,20624.038223251
TKM,9479.64983746026,54580686000,..,..,..
TCA,24055.2989611893,892812420.944541,..,..,..
TUV,3518.02990325418,40000000,..,..,..
UGA,2636334.84830172,108518040921500,..,105964590996500,2574301.39318673
UKR,57530.0409153971,2444191000000,26,2502552812527.11,58903.7295766275
ARE,152262.890956354,1444548955869.79,..,1454812071045.89,153344.67609114
GBR,30134.1851226949,1990629886100,..,1966905159419.2,29775.0398537644
USA,58202.8581979458,18915087242800,..,19152270783721.8,58932.6861824512
UMC,..,..,..,..,..
URY,203470.64576916,699256580900,39.5,655561200111.877,190756.103512517
UZB,3632924.76330798,117665346988877,..,..,..
VUT,232716.892578193,66443000000,..,..,..
VEN,..,..,..,..,..
VNM,34489046.6619312,3.262548E+15,..,3.00106696690265E+15,31724878.4254165
VIR,24052.6716641104,2580081984.06579,..,..,..
PSE,3072.27813563108,13686400000,..,15540544239.2573,3488.49034677327
WLD,..,..,..,..,..
YEM,8115.15906640822,225884000000,..,..,..
ZMB,7966.83728807606,134270590000,..,..,..
ZWE,1347.76941639399,19187849500,44.3,17320653220.6662,1216.61610295515
