CountryCode,SH.MED.CMHW.P3,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SH.MED.BEDS.ZS,SH.MED.NUMW.P3
OMN,..,3.849071636796,587.646301269531,..,4.2731
OSS,..,4.56089379290344,639.897020371404,..,..
PSS,..,4.99446155113601,199.00904111287,..,..
PAK,..,2.89863366633654,44.5929641723633,..,0.5986
PLW,..,11.9611620903015,1596.36291503906,..,..
PAN,..,7.31949135661125,1112.30322265625,..,3.0866
PNG,..,2.46927607804537,61.4578399658203,..,0.2253
PRY,..,6.65456876158714,381.113067626953,..,0.7387
PER,..,4.99515049159527,332.570922851563,..,2.213
PHL,..,4.44640778005123,132.900985717773,..,5.2744
POL,..,6.5419539809227,906.820129394531,..,5.7029
PRT,..,8.96957442164421,1908.03393554688,..,6.9746
PST,..,12.9548025451512,5550.62460893834,..,..
PRE,..,4.35413175439195,65.896891395763,..,..
PRI,..,..,..,..,..
QAT,..,2.60742865502834,1649.18615722656,..,..
ROU,..,5.15788830816746,555.104736328125,..,7.3891
RUS,..,5.34457787871361,585.873229980469,..,8.5429
RWA,..,6.57159835100174,49.2044563293457,..,1.1229
WSM,..,5.48278577625752,233.065063476563,..,..
SMR,..,7.36408308148384,3361.64477539063,..,..
STP,..,6.22999146580696,119.695655822754,..,..
SAU,..,5.23025318980217,1093.40551757813,..,5.4627
SEN,..,4.13406379520893,55.0140380859375,..,0.3127
SRB,..,8.43395814299583,528.545166015625,..,..
SYC,..,5.0067350268364,791.656677246094,..,..
SLE,..,13.4209275245667,66.4021835327148,..,..
SGP,..,4.44038286805153,2618.71240234375,..,6.2432
SXM,..,..,..,..,..
SVK,..,6.74253478646278,1186.13635253906,..,..
SVN,..,8.18701758980751,1920.28186035156,..,9.9745
SST,..,4.80166856478344,602.038208133858,..,..
SLB,..,4.68491911888123,101.239868164063,..,..
SOM,..,..,..,..,..
ZAF,..,8.11311826109886,499.237548828125,..,1.3078
SAS,..,3.46264833563097,64.4653930414567,..,..
TSA,..,3.46264833563097,64.4653930414567,..,..
SSD,..,9.76099446415901,22.8885726928711,..,..
ESP,..,8.87312963604927,2506.46484375,..,5.7295
LKA,..,3.81142050027847,159.484741210938,..,1.9966
KNA,..,5.0368070602417,902.658996582031,..,..
LCA,..,4.54588681459427,460.068817138672,..,3.1547
MAF,..,..,..,..,..
VCT,..,4.48712520301342,320.593292236328,..,6.3115
SSF,..,5.11937270627834,83.7588180080558,..,..
TSS,..,5.11937270627834,83.7588180080558,..,..
SSA,..,5.11454010854236,83.0623281282646,..,..
SDN,..,6.34180754423141,193.793045043945,..,0.6952
SUR,..,6.2297698110342,339.327972412109,..,1.9281
SWE,..,11.0187463462353,5904.583984375,..,11.8164
CHE,..,12.3463220894337,9956.259765625,..,17.5357
SYR,..,..,..,..,..
TJK,..,7.22881481051445,57.8998527526855,..,..
TZA,..,3.6454513669014,33.916576385498,..,0.5843
THA,..,3.74601632356644,247.035110473633,..,2.9573
TLS,..,3.88229340314865,83.1977081298828,..,1.7413
TGO,..,6.19951225817204,38.048713684082,..,0.4201
TON,..,5.26931136846542,222.015487670898,..,..
TTO,..,6.97873532772064,1124.09167480469,..,5.6441
