CountryCode,NYGDPPCAPKN,NYGDPMKTPKN,SIPOVGINI,NYGNPMKTPKN,NYGNPPCAPKN
PRY,29748173.0107702,209565050525900,..,201985723216418,28672272.5228695
PER,16799.5505937736,546161000000,..,520320128694.391,16004.7025088943
PHL,179144.64693046,19368512821491.5,..,21280846777635.4,196832.344202002
POL,52426.6573374108,1990686000000,..,1901337341736.88,50073.5732797955
PRT,19377.0999463748,198991519600,..,194223702301.467,18912.8265315808
PST,..,..,..,..,..
PRE,..,..,..,..,..
PRI,2990.51818990799,9550800000,..,..,..
QAT,289340.612351332,819432000000,..,..,..
ROU,24070.1387603076,465914700000,..,458619455988.732,23693.2510260474
RUS,617388.329662808,90589933530542.2,..,87561726326535.2,596750.498121355
RWA,723802.739378868,9139421000000,..,8848406082527.81,700755.612600653
WSM,10360.3809291872,2042000000,..,..,..
SMR,..,..,..,..,..
STP,19930.8826538204,4286255900,..,..,..
SAU,77033.115007349,2639811458556.56,..,2663863313560.09,77734.9792661095
SEN,816205.310792027,13301178843400,..,12951269108995.7,794733.66629487
SRB,560672.731003351,3893858100000,..,3680216747576.53,529910.726471517
SYC,97986.8672469921,9565967914.9876,..,..,..
SLE,1309818.55740563,10233894000000,..,..,..
SGP,83330.1920253792,475279500000,..,429239140245.781,75257.9902593939
SXM,..,..,..,..,..
SVK,16372.224390836,89295307000,..,..,..
SVN,21456.5514625378,44800120800,..,..,..
SST,..,..,..,..,..
SLB,8065.34067746184,5402350688.59952,..,..,..
SOM,..,..,..,..,..
ZAF,53781.2514252897,3149337041900,..,3058213039023.63,52225.1261696022
SAS,..,..,..,..,..
TSA,..,..,..,..,..
SSD,..,..,..,..,..
ESP,25327.94245214,1192358000000,..,..,..
LKA,453578.812865202,9889378856900,..,9594573920702.45,440057.511383867
KNA,40178.710031615,2122360000,..,..,..
LCA,31042.7523387494,5674304700,..,..,..
MAF,..,..,..,..,..
VCT,16481.3860329689,1822660000,..,..,..
SSF,..,..,..,..,..
TSS,..,..,..,..,..
SSA,..,..,..,..,..
SDN,739.529792397389,31661665010,..,30738312535.7828,717.962807106129
SUR,16586.6261189049,9643000000,..,..,..
SWE,447395.94843319,4601670000000,..,4718166139132.04,458722.24967943
CHE,81938.1373652568,702605762300,..,..,..
SYR,..,..,..,..,..
TJK,775.601978238858,7229400000,..,..,..
TZA,2133302.79654329,120108008734900,..,..,..
THA,156938.178269016,10926912000000,..,10518130615461,151067.0404947
TLS,1262.08058191087,1632020380,..,..,..
TGO,301274.156602163,2435008000000,..,2444948217043.88,302504.021352643
TON,..,..,..,..,..
TTO,111835.139461481,156007000000,..,..,..
TUN,6305.32465123788,73739000000,..,..,..
TUR,21063.3600430734,1757308019000,..,1728775611517.84,20721.3662860345
TKM,..,..,..,..,..
TCA,..,..,..,..,..
TUV,3863.98763523957,45000000,..,..,..
UGA,2771511.82779991,122693703382900,..,119432452721041,2697843.86820989
UKR,62081.4423135881,2609147000000,..,2694109305644.35,64103.0158304077
ARE,152116.723934425,1486260862586.29,..,1493709981725.92,152879.130876733
GBR,30609.0174768519,2045735470700,..,..,..
USA,60696.8718376129,19923112259570.2,..,..,..
UMC,..,..,..,..,..
URY,205724.497087298,712163486200,..,..,..
UZB,3900372.86153186,130977055932600,..,..,..
VUT,234395.528908037,70291000000,..,..,..
VEN,..,..,..,..,..
VNM,38756628.4318943,3.738546E+15,..,3.43775242633164E+15,35638372.0912297
VIR,..,..,..,..,..
PSE,..,..,..,..,..
WLD,..,..,..,..,..
YEM,..,..,..,..,..
ZMB,7954.24149111222,142070945900,..,..,..
ZWE,1262.18435628004,18485280600,..,..,..
